"Clinicopathological_Group","Gene_Count","Symbol","Gene_Description"
"Tumor_vs_Normal_Pos",726,"VIM","vimentin [Source:HGNC Symbol;Acc:HGNC:12692]"
"Tumor_vs_Normal_Pos",726,"HSPB2","heat shock protein family B (small) member 2 [Source:HGNC Symbol;Acc:HGNC:5247]"
"Tumor_vs_Normal_Pos",726,"MRGPRX4","MAS related GPR family member X4 [Source:HGNC Symbol;Acc:HGNC:17617]"
"Tumor_vs_Normal_Pos",726,"ACTR6","actin related protein 6 [Source:HGNC Symbol;Acc:HGNC:24025]"
"Tumor_vs_Normal_Pos",726,"MYO1C","myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]"
"Tumor_vs_Normal_Pos",726,"RFFL","ring finger and FYVE like domain containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:24821]"
"Tumor_vs_Normal_Pos",726,"MED26","mediator complex subunit 26 [Source:HGNC Symbol;Acc:HGNC:2376]"
"Tumor_vs_Normal_Pos",726,"CRYGA","crystallin gamma A [Source:HGNC Symbol;Acc:HGNC:2408]"
"Tumor_vs_Normal_Pos",726,"PFDN4","prefoldin subunit 4 [Source:HGNC Symbol;Acc:HGNC:8868]"
"Tumor_vs_Normal_Pos",726,"UFD1","ubiquitin recognition factor in ER associated degradation 1 [Source:HGNC Symbol;Acc:HGNC:12520]"
"Tumor_vs_Normal_Pos",726,"REST","RE1 silencing transcription factor [Source:HGNC Symbol;Acc:HGNC:9966]"
"Tumor_vs_Normal_Pos",726,"PAQR3","progestin and adipoQ receptor family member 3 [Source:HGNC Symbol;Acc:HGNC:30130]"
"Tumor_vs_Normal_Pos",726,"CCDC146","coiled-coil domain containing 146 [Source:HGNC Symbol;Acc:HGNC:29296]"
"Tumor_vs_Normal_Pos",726,"SHMT2","serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]"
"Tumor_vs_Normal_Pos",726,"KLHL4","kelch like family member 4 [Source:HGNC Symbol;Acc:HGNC:6355]"
"Tumor_vs_Normal_Pos",726,"DTD1","D-aminoacyl-tRNA deacylase 1 [Source:HGNC Symbol;Acc:HGNC:16219]"
"Tumor_vs_Normal_Pos",726,"SDHAF2","succinate dehydrogenase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:26034]"
"Tumor_vs_Normal_Pos",726,"TBP","TATA-box binding protein [Source:HGNC Symbol;Acc:HGNC:11588]"
"Tumor_vs_Normal_Pos",726,"CCN2","cellular communication network factor 2 [Source:HGNC Symbol;Acc:HGNC:2500]"
"Tumor_vs_Normal_Pos",726,"ECHDC2","enoyl-CoA hydratase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23408]"
"Tumor_vs_Normal_Pos",726,"RNF220","ring finger protein 220 [Source:HGNC Symbol;Acc:HGNC:25552]"
"Tumor_vs_Normal_Pos",726,"PPP1R12B","protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]"
"Tumor_vs_Normal_Pos",726,"NPAT","nuclear protein, coactivator of histone transcription [Source:HGNC Symbol;Acc:HGNC:7896]"
"Tumor_vs_Normal_Pos",726,"PRKCH","protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]"
"Tumor_vs_Normal_Pos",726,"GNB5","G protein subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]"
"Tumor_vs_Normal_Pos",726,"NIPSNAP3A","nipsnap homolog 3A [Source:HGNC Symbol;Acc:HGNC:23619]"
"Tumor_vs_Normal_Pos",726,"CD79B","CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]"
"Tumor_vs_Normal_Pos",726,"STAT5A","signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]"
"Tumor_vs_Normal_Pos",726,"USP6","ubiquitin specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:12629]"
"Tumor_vs_Normal_Pos",726,"ZNF649","zinc finger protein 649 [Source:HGNC Symbol;Acc:HGNC:25741]"
"Tumor_vs_Normal_Pos",726,"RETSAT","retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]"
"Tumor_vs_Normal_Pos",726,"ITGA6","integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]"
"Tumor_vs_Normal_Pos",726,"BACH1","BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]"
"Tumor_vs_Normal_Pos",726,"ZNF35","zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099]"
"Tumor_vs_Normal_Pos",726,"NKTR","natural killer cell triggering receptor [Source:HGNC Symbol;Acc:HGNC:7833]"
"Tumor_vs_Normal_Pos",726,"CEP41","centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]"
"Tumor_vs_Normal_Pos",726,"CLIP2","CAP-Gly domain containing linker protein 2 [Source:HGNC Symbol;Acc:HGNC:2586]"
"Tumor_vs_Normal_Pos",726,"CFTR","CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]"
"Tumor_vs_Normal_Pos",726,"HOOK3","hook microtubule tethering protein 3 [Source:HGNC Symbol;Acc:HGNC:23576]"
"Tumor_vs_Normal_Pos",726,"COL14A1","collagen type XIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2191]"
"Tumor_vs_Normal_Pos",726,"ECM2","extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3154]"
"Tumor_vs_Normal_Pos",726,"GNE","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase [Source:HGNC Symbol;Acc:HGNC:23657]"
"Tumor_vs_Normal_Pos",726,"MAPKAP1","MAPK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18752]"
"Tumor_vs_Normal_Pos",726,"MAGEC1","MAGE family member C1 [Source:HGNC Symbol;Acc:HGNC:6812]"
"Tumor_vs_Normal_Pos",726,"PRKX","protein kinase cAMP-dependent X-linked catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9441]"
"Tumor_vs_Normal_Pos",726,"ARSDP1","arylsulfatase D pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:718]"
"Tumor_vs_Normal_Pos",726,"ARSD","arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]"
"Tumor_vs_Normal_Pos",726,"KLRC4-KLRK1","KLRC4-KLRK1 readthrough [Source:HGNC Symbol;Acc:HGNC:48357]"
"Tumor_vs_Normal_Pos",726,"KLRC4","killer cell lectin like receptor C4 [Source:HGNC Symbol;Acc:HGNC:6377]"
"Tumor_vs_Normal_Pos",726,"PCDHAC2","protocadherin alpha subfamily C, 2 [Source:HGNC Symbol;Acc:HGNC:8677]"
"Tumor_vs_Normal_Pos",726,"VAMP7","vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486]"
"Tumor_vs_Normal_Pos",726,"ALG13","ALG13 UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:30881]"
"Tumor_vs_Normal_Pos",726,"FMO5","flavin containing dimethylaniline monoxygenase 5 [Source:HGNC Symbol;Acc:HGNC:3773]"
"Tumor_vs_Normal_Pos",726,"OR6N1","olfactory receptor family 6 subfamily N member 1 [Source:HGNC Symbol;Acc:HGNC:15034]"
"Tumor_vs_Normal_Pos",726,"CNNM2","cyclin and CBS domain divalent metal cation transport mediator 2 [Source:HGNC Symbol;Acc:HGNC:103]"
"Tumor_vs_Normal_Pos",726,"TBC1D12","TBC1 domain family member 12 [Source:HGNC Symbol;Acc:HGNC:29082]"
"Tumor_vs_Normal_Pos",726,"ABCC8","ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]"
"Tumor_vs_Normal_Pos",726,"FHIP1B","FHF complex subunit HOOK interacting protein 1B [Source:HGNC Symbol;Acc:HGNC:25378]"
"Tumor_vs_Normal_Pos",726,"NF2","NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor [Source:HGNC Symbol;Acc:HGNC:7773]"
"Tumor_vs_Normal_Pos",726,"DERA","deoxyribose-phosphate aldolase [Source:HGNC Symbol;Acc:HGNC:24269]"
"Tumor_vs_Normal_Pos",726,"EP400","E1A binding protein p400 [Source:HGNC Symbol;Acc:HGNC:11958]"
"Tumor_vs_Normal_Pos",726,"PHF5A","PHD finger protein 5A [Source:HGNC Symbol;Acc:HGNC:18000]"
"Tumor_vs_Normal_Pos",726,"TTF1","transcription termination factor 1 [Source:HGNC Symbol;Acc:HGNC:12397]"
"Tumor_vs_Normal_Pos",726,"ALKBH4","alkB homolog 4, lysine demethylase [Source:HGNC Symbol;Acc:HGNC:21900]"
"Tumor_vs_Normal_Pos",726,"MANEA","mannosidase endo-alpha [Source:HGNC Symbol;Acc:HGNC:21072]"
"Tumor_vs_Normal_Pos",726,"OBI1","ORC ubiquitin ligase 1 [Source:HGNC Symbol;Acc:HGNC:20308]"
"Tumor_vs_Normal_Pos",726,"SRA1","steroid receptor RNA activator 1 [Source:HGNC Symbol;Acc:HGNC:11281]"
"Tumor_vs_Normal_Pos",726,"IFT56","intraflagellar transport 56 [Source:HGNC Symbol;Acc:HGNC:21882]"
"Tumor_vs_Normal_Pos",726,"WNT7A","Wnt family member 7A [Source:HGNC Symbol;Acc:HGNC:12786]"
"Tumor_vs_Normal_Pos",726,"ZSCAN16","zinc finger and SCAN domain containing 16 [Source:HGNC Symbol;Acc:HGNC:20813]"
"Tumor_vs_Normal_Pos",726,"WSB2","WD repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:19222]"
"Tumor_vs_Normal_Pos",726,"TMED3","transmembrane p24 trafficking protein 3 [Source:HGNC Symbol;Acc:HGNC:28889]"
"Tumor_vs_Normal_Pos",726,"HNF4A","hepatocyte nuclear factor 4 alpha [Source:HGNC Symbol;Acc:HGNC:5024]"
"Tumor_vs_Normal_Pos",726,"TMPRSS2","transmembrane serine protease 2 [Source:HGNC Symbol;Acc:HGNC:11876]"
"Tumor_vs_Normal_Pos",726,"H1-0","H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]"
"Tumor_vs_Normal_Pos",726,"IQCG","IQ motif containing G [Source:HGNC Symbol;Acc:HGNC:25251]"
"Tumor_vs_Normal_Pos",726,"PLA2G2D","phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033]"
"Tumor_vs_Normal_Pos",726,"LSAMP","limbic system associated membrane protein [Source:HGNC Symbol;Acc:HGNC:6705]"
"Tumor_vs_Normal_Pos",726,"LCE1C","late cornified envelope 1C [Source:HGNC Symbol;Acc:HGNC:29464]"
"Tumor_vs_Normal_Pos",726,"PPP2R5E","protein phosphatase 2 regulatory subunit B'epsilon [Source:HGNC Symbol;Acc:HGNC:9313]"
"Tumor_vs_Normal_Pos",726,"SRSF10","serine and arginine rich splicing factor 10 [Source:HGNC Symbol;Acc:HGNC:16713]"
"Tumor_vs_Normal_Pos",726,"UGCG","UDP-glucose ceramide glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:12524]"
"Tumor_vs_Normal_Pos",726,"DCP1B","decapping mRNA 1B [Source:HGNC Symbol;Acc:HGNC:24451]"
"Tumor_vs_Normal_Pos",726,"FUT8","fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]"
"Tumor_vs_Normal_Pos",726,"FAM98A","family with sequence similarity 98 member A [Source:HGNC Symbol;Acc:HGNC:24520]"
"Tumor_vs_Normal_Pos",726,"ZNF280C","zinc finger protein 280C [Source:HGNC Symbol;Acc:HGNC:25955]"
"Tumor_vs_Normal_Pos",726,"ZDHHC19","zinc finger DHHC-type palmitoyltransferase 19 [Source:HGNC Symbol;Acc:HGNC:20713]"
"Tumor_vs_Normal_Pos",726,"E2F5","E2F transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3119]"
"Tumor_vs_Normal_Pos",726,"DEFA1","defensin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2761]"
"Tumor_vs_Normal_Pos",726,"DEFA1B","defensin alpha 1B [Source:HGNC Symbol;Acc:HGNC:33596]"
"Tumor_vs_Normal_Pos",726,"DEFA3","defensin alpha 3 [Source:HGNC Symbol;Acc:HGNC:2762]"
"Tumor_vs_Normal_Pos",726,"MAP3K20","mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]"
"Tumor_vs_Normal_Pos",726,"ZNF594","zinc finger protein 594 [Source:HGNC Symbol;Acc:HGNC:29392]"
"Tumor_vs_Normal_Pos",726,"ALDOB","aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]"
